Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,253,13,▲,93,58
New Hampshire,252,12,▲,92,57
Minnesota,249,9,▲,88,53
New Jersey,248,8,▲,89,51
Maryland,247,7,▲,86,48
Vermont,247,7,▲,89,49
Kansas,246,6,▲,90,48
Pennsylvania,246,6,▲,87,48
Virginia,245,5,▲,87,46
North Dakota,245,5,▲,90,46
Wisconsin,245,5,▲,86,47
North Carolina,245,4,▲,88,44
Colorado,244,4,▲,84,47
Maine,244,4,▲,87,45
Ohio,244,4,▲,86,45
Wyoming,244,4,▲,88,44
Indiana,244,4,▲,87,44
Montana,244,4,▲,87,45
Washington,243,3,▲,83,45
Iowa,243,2,▲,86,43
Utah,243,2,▲,85,43
Connecticut,242,2,♦,82,45
Rhode Island,242,2,♦,84,43
Texas,241,1,♦,85,39
South Dakota,241,1,♦,86,40
Kentucky,241,1,♦,85,39
DoDEA,241,1,♦,86,39
Missouri,240,#,♦,83,41
Delaware,240,#,♦,84,39
Idaho,240,#,♦,83,39
National public,240,†,,82,40
Florida,240,#,♦,84,37
Nebraska,240,#,♦,83,39
Illinois,239,-1,♦,80,38
Hawaii,239,-1,♦,80,40
Georgia,238,-2,▼,80,37
Arkansas,238,-2,▼,81,37
New York,238,-3,▼,80,36
Oklahoma,237,-3,▼,83,33
South Carolina,237,-3,▼,79,36
Nevada,237,-3,▼,79,36
Oregon,237,-3,▼,77,37
Michigan,236,-4,▼,78,35
Alaska,236,-4,▼,78,37
Arizona,235,-5,▼,77,34
West Virginia,235,-5,▼,78,31
California,234,-6,▼,74,34
Tennessee,233,-7,▼,75,30
New Mexico,233,-7,▼,75,30
Alabama,231,-9,▼,75,27
Louisiana,231,-9,▼,73,26
Mississippi,230,-10,▼,72,25
District of Columbia,222,-18,▼,60,22
Puerto Rico,182,-59,▼,9,#
