Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Minnesota,253,12,▲,90,59
Massachusetts,253,12,▲,90,58
New Hampshire,253,12,▲,93,59
Indiana,249,7,▲,90,52
Vermont,248,7,▲,87,52
Colorado,247,6,▲,87,50
New Jersey,247,6,▲,87,49
Wyoming,247,5,▲,90,48
North Dakota,246,5,▲,89,48
Washington,246,5,▲,86,48
Kansas,246,5,▲,89,48
Virginia,246,5,▲,88,47
Maine,246,5,▲,88,47
Iowa,246,5,▲,87,48
Ohio,246,4,▲,86,48
Maryland,245,4,▲,82,47
DoDEA,245,4,▲,89,45
North Carolina,245,4,▲,87,45
Wisconsin,245,4,▲,85,47
Pennsylvania,244,3,▲,85,44
Montana,244,3,▲,86,45
Connecticut,243,2,▲,83,45
Hawaii,243,2,▲,83,46
Nebraska,243,2,♦,84,45
Delaware,243,2,▲,86,42
Utah,243,2,♦,83,44
Texas,242,1,♦,84,41
Florida,242,#,♦,84,41
Kentucky,241,#,♦,84,41
Rhode Island,241,#,♦,83,42
National public,241,†,,82,41
South Dakota,241,#,♦,84,40
Idaho,241,#,♦,83,40
New York,240,-1,♦,82,40
Arizona,240,-1,♦,82,40
Oregon,240,-1,♦,81,40
Georgia,240,-1,♦,81,39
Arkansas,240,-1,♦,83,39
Tennessee,240,-1,♦,80,40
Missouri,240,-2,♦,83,39
Illinois,239,-2,♦,79,39
Oklahoma,239,-2,▼,83,36
West Virginia,237,-4,▼,81,35
Michigan,237,-4,▼,77,37
South Carolina,237,-5,▼,79,35
Nevada,236,-5,▼,80,34
Alaska,236,-5,▼,77,37
California,234,-8,▼,74,33
Alabama,233,-8,▼,75,30
New Mexico,233,-8,▼,74,31
Louisiana,231,-10,▼,75,26
Mississippi,231,-10,▼,74,26
District of Columbia,229,-13,▼,66,28
Puerto Rico,182,-59,▼,11,1
