Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,232,12,▲,79,47
DoDEA,232,11,▲,82,43
Maryland,232,11,▲,77,45
New Hampshire,232,11,▲,80,45
Connecticut,230,9,▲,76,43
New Jersey,229,8,▲,75,42
Virginia,229,8,▲,74,43
Vermont,228,7,▲,75,42
Florida,227,7,▲,75,39
Minnesota,227,6,▲,74,41
Colorado,227,6,▲,74,41
Pennsylvania,226,6,▲,73,40
Wyoming,226,5,▲,75,37
Delaware,226,5,▲,73,38
Indiana,225,5,▲,73,38
Washington,225,4,▲,72,40
Maine,225,4,▲,71,37
Kentucky,224,4,▲,71,36
North Dakota,224,3,▲,73,34
Ohio,224,3,▲,71,37
Iowa,224,3,▲,72,38
New York,224,3,▲,70,37
Kansas,223,3,▲,71,38
Nebraska,223,3,▲,71,37
Montana,223,2,▲,70,35
Rhode Island,223,2,▲,70,38
Utah,223,2,♦,71,37
Missouri,222,2,♦,70,35
North Carolina,222,2,♦,69,35
Georgia,222,1,♦,67,34
Wisconsin,221,#,♦,68,35
National public,221,†,,67,34
Tennessee,220,-1,♦,67,34
Idaho,219,-1,♦,68,33
Oregon,219,-2,♦,66,33
Alabama,219,-2,♦,65,31
Illinois,219,-2,♦,64,34
Arkansas,219,-2,▼,66,32
South Dakota,218,-3,▼,66,32
Michigan,217,-3,▼,64,31
Oklahoma,217,-4,▼,65,30
Texas,217,-4,▼,63,28
Hawaii,215,-6,▼,62,30
West Virginia,215,-6,▼,62,27
Nevada,214,-7,▼,61,27
South Carolina,214,-7,▼,60,28
Arizona,213,-8,▼,60,28
California,213,-8,▼,58,27
Louisiana,210,-10,▼,56,23
Alaska,209,-11,▼,58,27
Mississippi,209,-12,▼,53,21
New Mexico,206,-15,▼,52,21
District of Columbia,206,-15,▼,50,23
Puerto Rico,—,†,,—,—
