Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,235,14,▲,82,50
DoDEA,234,12,▲,83,47
New Hampshire,232,11,▲,79,46
Vermont,230,9,▲,76,45
New Jersey,229,8,▲,75,43
Virginia,229,8,▲,74,43
Connecticut,229,8,▲,74,43
Wyoming,228,7,▲,75,41
Kentucky,228,7,▲,75,40
Indiana,227,6,▲,75,40
Florida,227,6,▲,75,39
Pennsylvania,227,5,▲,74,41
Nebraska,227,5,▲,74,40
Utah,226,5,▲,74,40
Washington,226,5,▲,71,40
North Carolina,226,4,▲,73,38
Rhode Island,225,4,▲,72,40
Ohio,225,4,▲,72,38
Montana,225,3,▲,72,37
North Dakota,225,3,▲,73,37
Colorado,224,3,♦,71,39
Maine,224,2,▲,71,36
Delaware,224,2,▲,70,37
Iowa,224,2,♦,71,38
Wisconsin,223,2,♦,71,37
Minnesota,223,2,♦,71,39
Maryland,223,2,♦,68,37
Missouri,223,1,♦,70,36
New York,223,1,♦,68,36
Illinois,222,1,♦,68,35
Georgia,222,1,♦,68,34
Oklahoma,222,#,♦,71,33
Idaho,222,#,♦,69,36
National public,221,†,,68,35
Kansas,221,#,♦,68,35
South Dakota,220,-1,♦,68,35
Oregon,220,-1,♦,67,34
Tennessee,219,-3,♦,66,33
Arkansas,218,-3,▼,65,32
South Carolina,218,-3,▼,65,33
Texas,218,-3,♦,64,31
Alabama,217,-4,▼,65,29
Michigan,216,-5,▼,63,29
West Virginia,216,-5,▼,64,30
Louisiana,216,-5,▼,63,29
Arizona,215,-6,▼,62,30
Hawaii,215,-6,▼,61,29
Nevada,214,-7,▼,61,29
Mississippi,214,-7,▼,60,26
Alaska,213,-9,▼,61,30
California,213,-9,▼,59,28
District of Columbia,212,-9,▼,56,27
New Mexico,207,-14,▼,54,23
Puerto Rico,—,†,,—,—
