Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
Massachusetts,236,15,▲,80,51
DoDEA,234,14,▲,84,48
New Jersey,233,12,▲,78,49
New Hampshire,229,8,▲,75,43
Connecticut,228,8,▲,74,43
Florida,228,7,▲,75,41
Virginia,228,7,▲,74,43
Wyoming,227,6,▲,74,41
Vermont,226,6,▲,73,43
Indiana,226,6,▲,73,41
Ohio,225,4,▲,71,39
Utah,225,4,▲,72,41
Maryland,225,4,▲,69,40
Pennsylvania,225,4,▲,71,40
Colorado,225,4,▲,71,40
Minnesota,225,4,▲,71,39
Nebraska,224,3,▲,72,38
Kentucky,224,3,▲,70,38
North Carolina,224,3,▲,69,39
Rhode Island,223,3,▲,69,39
Kansas,223,2,♦,70,37
Washington,223,2,♦,68,39
Idaho,223,2,♦,70,38
Missouri,223,2,♦,69,37
Montana,222,2,♦,70,38
New York,222,1,♦,68,36
South Dakota,222,1,♦,69,36
Iowa,222,1,♦,69,36
North Dakota,222,1,♦,70,34
Delaware,221,1,♦,67,36
Maine,221,1,♦,67,36
National public,221,†,,67,35
Illinois,220,#,♦,66,35
Georgia,220,-1,♦,66,35
Wisconsin,220,-1,♦,66,35
Tennessee,219,-2,♦,64,33
Michigan,218,-3,♦,64,32
Oregon,218,-3,▼,63,33
West Virginia,217,-3,▼,64,32
Oklahoma,217,-4,▼,63,29
Alabama,216,-4,▼,63,31
Hawaii,216,-4,▼,62,32
Arkansas,216,-5,▼,63,31
Arizona,215,-5,▼,61,30
California,215,-5,▼,61,31
Mississippi,215,-6,▼,60,27
Texas,215,-6,▼,60,29
Nevada,215,-6,▼,61,31
District of Columbia,213,-7,▼,56,29
South Carolina,213,-8,▼,59,29
Louisiana,212,-9,▼,56,26
New Mexico,208,-13,▼,54,25
Alaska,207,-14,▼,56,28
Puerto Rico,—,†,,—,—
