Jurisdiction,MN,SigDiff,SigSymbol,AB,AP
DoDEA,235,15,▲,83,49
Massachusetts,231,12,▲,76,45
New Jersey,227,8,▲,72,42
Wyoming,227,7,▲,73,41
Utah,225,6,▲,72,40
Colorado,225,5,▲,71,40
Florida,225,5,▲,70,38
Connecticut,224,5,▲,70,40
New Hampshire,224,5,▲,71,38
Virginia,224,4,▲,69,38
Pennsylvania,223,4,▲,68,40
Idaho,223,3,▲,69,37
Minnesota,222,3,▲,69,38
Nebraska,222,3,▲,69,37
South Dakota,222,3,▲,69,36
Ohio,222,3,▲,68,36
Vermont,222,2,▲,68,37
Indiana,222,2,♦,67,37
Montana,222,2,♦,69,36
North Carolina,221,2,♦,67,36
Maine,221,2,♦,67,36
North Dakota,221,2,♦,69,34
Kentucky,221,1,♦,67,35
Iowa,221,1,♦,68,35
Rhode Island,220,1,♦,66,35
Maryland,220,#,♦,64,35
Wisconsin,220,#,♦,66,36
Washington,220,#,♦,65,35
New York,220,#,♦,66,34
National public,219,†,,65,34
Mississippi,219,#,♦,65,32
Kansas,219,#,♦,66,34
Tennessee,219,#,♦,66,35
Michigan,218,-1,♦,64,32
Illinois,218,-1,♦,64,34
Missouri,218,-1,♦,64,34
Georgia,218,-1,♦,63,32
Oregon,218,-2,♦,64,34
Delaware,218,-2,♦,62,33
Nevada,218,-2,♦,64,31
Hawaii,218,-2,♦,63,34
California,216,-3,▼,63,32
Oklahoma,216,-3,▼,63,29
Texas,216,-3,▼,61,30
South Carolina,216,-3,▼,61,32
Arizona,216,-4,▼,61,31
Arkansas,215,-4,▼,62,31
District of Columbia,214,-5,▼,57,30
West Virginia,213,-6,▼,60,30
Alabama,212,-8,▼,58,28
Louisiana,210,-10,▼,55,26
New Mexico,208,-12,▼,53,24
Alaska,204,-15,▼,53,25
Puerto Rico,—,†,,—,—
